sensor0,39.7758,55.6234
sensor1,38.1562,64.9179
sensor2,48.6142,63.3919
sensor3,61.0157,65.3341
sensor4,68.6972,61.6810
sensor5,75.6943,57.3015
sensor6,80.5288,65.4480
sensor7,89.5669,62.1434
sensor8,86.4504,52.1924
sensor9,86.5951,42.0223
sensor10,84.4728,32.7197
sensor11,87.2703,25.3452
sensor12,81.0964,45.6372
sensor13,70.7745,45.6854
sensor14,61.9959,51.8550
sensor15,57.4138,40.1425
sensor16,55.1950,31.9003
sensor17,57.0279,22.5014
sensor18,45.7895,24.3330
sensor19,33.3452,22.5496
sensor20,39.5673,28.4300
sensor21,37.3004,36.9131
sensor22,35.8534,46.2156
